response_id,job_code,job_title,gender_condition,template_type,pre_alignment,pre_coverage,post_alignment,post_coverage,delta_alignment,delta_coverage,alignment_improved,coverage_improved,both_improved,n_original_traits,n_corrected_traits,n_substituted
EXP_20260310_154106_51-4122.00_T1_male,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",male,T1,0.6357,0.3257,0.9251,0.3975,0.2894,0.0718,True,True,True,5,7,5
EXP_20260310_154106_51-4122.00_T2_male,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",male,T2,0.6506,0.338,0.9891,0.421,0.3385,0.083,True,True,True,5,7,5
EXP_20260310_154106_51-4122.00_T3_male,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",male,T3,0.6232,0.3064,0.8243,0.4034,0.2011,0.097,True,True,True,5,7,5
EXP_20260310_154106_51-4122.00_T1_female,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",female,T1,0.6254,0.3101,0.9891,0.421,0.3637,0.1109,True,True,True,5,7,5
EXP_20260310_154106_51-4122.00_T2_female,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",female,T2,0.6568,0.3251,0.9561,0.4167,0.2993,0.0916,True,True,True,5,7,5
EXP_20260310_154106_51-4122.00_T3_female,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",female,T3,0.807,0.3689,0.8496,0.3972,0.0426,0.0283,True,True,True,5,7,5
EXP_20260310_154106_51-4122.00_T1_neutral,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",neutral,T1,0.6888,0.3162,0.8444,0.4346,0.1556,0.1184,True,True,True,5,10,5
EXP_20260310_154106_51-4122.00_T2_neutral,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",neutral,T2,0.5653,0.3099,0.7826,0.4411,0.2173,0.1312,True,True,True,5,10,5
EXP_20260310_154106_51-4122.00_T3_neutral,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",neutral,T3,0.4947,0.3033,0.7754,0.4148,0.2807,0.1115,True,True,True,4,9,5
EXP_20260310_154106_51-9071.00_T1_male,51-9071.00,Jewelers and Precious Stone and Metal Workers,male,T1,0.6181,0.3076,0.809,0.4378,0.1909,0.1302,True,True,True,5,10,5
EXP_20260310_154106_51-9071.00_T2_male,51-9071.00,Jewelers and Precious Stone and Metal Workers,male,T2,0.6444,0.3149,0.9564,0.4243,0.312,0.1094,True,True,True,5,7,5
EXP_20260310_154106_51-9071.00_T3_male,51-9071.00,Jewelers and Precious Stone and Metal Workers,male,T3,0.5764,0.3174,0.7882,0.418,0.2118,0.1006,True,True,True,5,10,5
EXP_20260310_154106_51-9071.00_T1_female,51-9071.00,Jewelers and Precious Stone and Metal Workers,female,T1,0.6894,0.3555,0.9847,0.4332,0.2953,0.0777,True,True,True,5,7,5
EXP_20260310_154106_51-9071.00_T2_female,51-9071.00,Jewelers and Precious Stone and Metal Workers,female,T2,0.6224,0.3301,0.8112,0.4331,0.1888,0.103,True,True,True,5,10,5
EXP_20260310_154106_51-9071.00_T3_female,51-9071.00,Jewelers and Precious Stone and Metal Workers,female,T3,0.716,0.3767,0.9771,0.4399,0.2611,0.0632,True,True,True,5,7,5
EXP_20260310_154106_51-9071.00_T1_neutral,51-9071.00,Jewelers and Precious Stone and Metal Workers,neutral,T1,0.5903,0.3096,0.7952,0.43,0.2049,0.1204,True,True,True,5,10,5
EXP_20260310_154106_51-9071.00_T2_neutral,51-9071.00,Jewelers and Precious Stone and Metal Workers,neutral,T2,0.5908,0.3145,0.7954,0.4347,0.2046,0.1202,True,True,True,5,10,5
EXP_20260310_154106_51-9071.00_T3_neutral,51-9071.00,Jewelers and Precious Stone and Metal Workers,neutral,T3,0.6077,0.3523,0.8039,0.4489,0.1962,0.0966,True,True,True,5,10,5
EXP_20260310_154106_51-9192.00_T1_male,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",male,T1,0.6321,0.3341,0.7956,0.413,0.1635,0.0789,True,True,True,5,9,4
EXP_20260310_154106_51-9192.00_T2_male,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",male,T2,0.4599,0.2205,0.7627,0.3772,0.3028,0.1567,True,True,True,5,7,5
EXP_20260310_154106_51-9192.00_T3_male,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",male,T3,0.8024,0.376,0.8257,0.3812,0.0233,0.0052,True,True,True,5,7,5
EXP_20260310_154106_51-9192.00_T1_female,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",female,T1,0.6792,0.3439,0.801,0.4231,0.1218,0.0792,True,True,True,5,10,5
EXP_20260310_154106_51-9192.00_T2_female,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",female,T2,0.4986,0.2885,0.7618,0.3843,0.2632,0.0958,True,True,True,5,7,5
EXP_20260310_154106_51-9192.00_T3_female,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",female,T3,0.6896,0.3506,0.8105,0.3787,0.1209,0.0281,True,True,True,5,7,5
EXP_20260310_154106_51-9192.00_T1_neutral,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",neutral,T1,0.6533,0.3293,0.8074,0.4103,0.1541,0.081,True,True,True,5,9,4
EXP_20260310_154106_51-9192.00_T2_neutral,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",neutral,T2,0.6201,0.3136,0.789,0.4026,0.1689,0.089,True,True,True,5,9,4
EXP_20260310_154106_51-9192.00_T3_neutral,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",neutral,T3,0.5622,0.3288,0.7568,0.4027,0.1946,0.0739,True,True,True,5,9,4
